id,country,regions
1,Afghanistan,Asia
2,Albania,Europe
3,Algeria,Africa
4,American Samoa,Oceania
5,Andorra,Europe
6,Angola,Africa
7,Anguilla,Caribbean
8,Antarctica,Antarctica
9,Antigua and Barbuda,Caribbean
10,Argentina,South America
11,Armenia,Asia
12,Aruba,Caribbean
13,Australia,Oceania
14,Austria,Europe
15,Azerbaijan,Asia
16,Bahamas,Caribbean
17,Bahrain,Asia
18,Bangladesh,Asia
19,Barbados,Caribbean
20,Belarus,Europe
21,Belgium,Europe
22,Belize,Central America
23,Benin,Africa
24,Bermuda,North America
25,Bhutan,Asia
26,Bolivia,South America
27,Bosnia and Herzegovina,Europe
28,Botswana,Africa
29,Bouvet Island,Antarctica
30,Brazil,South America
31,British Indian Ocean Territory,Asia
32,British Virgin Islands,Caribbean
33,Brunei,Asia
34,Bulgaria,Europe
35,Burkina Faso,Africa
36,Burundi,Africa
37,Cambodia,Asia
38,Cameroon,Africa
39,Canada,North America
40,Cape Verde,Africa
41,Cayman Islands,Caribbean
42,Central African Republic,Africa
43,Chad,Africa
44,Chile,South America
45,China,Asia
46,Christmas Island,Asia
47,Cocos Islands,Asia
48,Colombia,South America
49,Comoros,Africa
50,Cook Islands,Oceania
51,Costa Rica,Central America
52,Croatia,Europe
53,Cuba,Caribbean
54,Cyprus,Asia
55,Czech Republic,Europe
56,Democratic Republic of the Congo,Africa
57,Denmark,Europe
58,Djibouti,Africa
59,Dominica,Caribbean
60,Dominican Republic,Caribbean
61,East Timor,Asia
62,Ecuador,South America
63,Egypt,Middle East
64,El Salvador,Central America
65,Equatorial Guinea,Africa
66,Eritrea,Africa
67,Estonia,Europe
68,Ethiopia,Africa
69,Falkland Islands,South America
70,Faroe Islands,Europe
71,Fiji,Oceania
72,Finland,Europe
73,France,Europe
74,French Guiana,South America
75,French Polynesia,Oceania
76,French Southern Territories,Antarctica
77,Gabon,Africa
78,Gambia,Africa
79,Georgia,Asia
80,Germany,Europe
81,Ghana,Africa
82,Gibraltar,Europe
83,Greece,Europe
84,Greenland,North America
85,Grenada,Caribbean
86,Guadeloupe,Caribbean
87,Guam,Oceania
88,Guatemala,Central America
89,Guinea,Africa
90,Guinea-Bissau,Africa
91,Guyana,South America
92,Haiti,Caribbean
93,Heard Island and McDonald Islands,Antarctica
94,Honduras,Central America
95,Hong Kong,Asia
96,Hungary,Europe
97,Iceland,Europe
98,India,Asia
